text,intent,entities
List all temperature sensors in Building001.,LIST_SENSORS,sensorType: temperature; digitalTwinID:Building001
List all humidity sensors in Building001.,LIST_SENSORS,sensorType: humidity; digitalTwinID:Building001
List all motion sensors in Building001.,LIST_SENSORS,sensorType: motion; digitalTwinID:Building001
List all camera sensors in Building001.,LIST_SENSORS,sensorType: camera; digitalTwinID:Building001
List all temperature sensors in Building002.,LIST_SENSORS,sensorType: temperature; digitalTwinID:Building002
List all humidity sensors in Building002.,LIST_SENSORS,sensorType: humidity; digitalTwinID:Building002
List all motion sensors in Building002.,LIST_SENSORS,sensorType: motion; digitalTwinID:Building002
List all camera sensors in Building002.,LIST_SENSORS,sensorType: camera; digitalTwinID:Building002
List all temperature sensors in Building003.,LIST_SENSORS,sensorType: temperature; digitalTwinID:Building003
List all humidity sensors in Building003.,LIST_SENSORS,sensorType: humidity; digitalTwinID:Building003
List all motion sensors in Building003.,LIST_SENSORS,sensorType: motion; digitalTwinID:Building003
List all camera sensors in Building003.,LIST_SENSORS,sensorType: camera; digitalTwinID:Building003
List all temperature sensors in Building004.,LIST_SENSORS,sensorType: temperature; digitalTwinID:Building004
List all humidity sensors in Building004.,LIST_SENSORS,sensorType: humidity; digitalTwinID:Building004
List all motion sensors in Building004.,LIST_SENSORS,sensorType: motion; digitalTwinID:Building004
List all camera sensors in Building004.,LIST_SENSORS,sensorType: camera; digitalTwinID:Building004
List all temperature sensors in Building001.,LIST_SENSORS,sensorType: temperature; digitalTwinID:Building001
List all humidity sensors in Building001.,LIST_SENSORS,sensorType: humidity; digitalTwinID:Building001
List all motion sensors in Building001.,LIST_SENSORS,sensorType: motion; digitalTwinID:Building001
List all camera sensors in Building001.,LIST_SENSORS,sensorType: camera; digitalTwinID:Building001
List all temperature sensors in Building002.,LIST_SENSORS,sensorType: temperature; digitalTwinID:Building002
List all humidity sensors in Building002.,LIST_SENSORS,sensorType: humidity; digitalTwinID:Building002
List all motion sensors in Building002.,LIST_SENSORS,sensorType: motion; digitalTwinID:Building002
List all camera sensors in Building002.,LIST_SENSORS,sensorType: camera; digitalTwinID:Building002
List all temperature sensors in Building003.,LIST_SENSORS,sensorType: temperature; digitalTwinID:Building003
List all humidity sensors in Building003.,LIST_SENSORS,sensorType: humidity; digitalTwinID:Building003
List all motion sensors in Building003.,LIST_SENSORS,sensorType: motion; digitalTwinID:Building003
List all camera sensors in Building003.,LIST_SENSORS,sensorType: camera; digitalTwinID:Building003
List all temperature sensors in Building004.,LIST_SENSORS,sensorType: temperature; digitalTwinID:Building004
List all humidity sensors in Building004.,LIST_SENSORS,sensorType: humidity; digitalTwinID:Building004
List all motion sensors in Building004.,LIST_SENSORS,sensorType: motion; digitalTwinID:Building004
List all camera sensors in Building004.,LIST_SENSORS,sensorType: camera; digitalTwinID:Building004
List all temperature sensors in Building001.,LIST_SENSORS,sensorType: temperature; digitalTwinID:Building001
List all humidity sensors in Building001.,LIST_SENSORS,sensorType: humidity; digitalTwinID:Building001
List all motion sensors in Building001.,LIST_SENSORS,sensorType: motion; digitalTwinID:Building001
List all camera sensors in Building001.,LIST_SENSORS,sensorType: camera; digitalTwinID:Building001
